sku_name,sales_2021,sales_2022,sales_difference
stinnos_A103,6,2,-4
un_Food Bundle_FB,4,0,-4
vitamin_Aloe Vera Plus,4,0,-4
AKL_A131130511_SS-164_Orange,3,0,-3
AKL_A131131293_FC-12,3,0,-3
AKL_A133119105-HCFT028-Double,3,0,-3
APC_UPS 1 kv SUA10001,4,1,-3
ARY Jewellers_1 Gram Millat Gold Coin --Lahore,3,0,-3
AmanJee_PB003,4,1,-3
Apple MacBook Air 13-inch 1.6GHz dual-core Intel Core i5,5,2,-3
Apple iPhone 6S 16GB,3,0,-3
Audionic_B-710,3,0,-3
BB_Hygienic-Home-Bundle,3,0,-3
BK1020200CF,3,0,-3
BO_5 Ft Sunset Glow Baby Swimming Pool,3,0,-3
BO_Piano-1,3,0,-3
CITY_Light Grey Belt Pant-Size L 40 - W 38,3,0,-3
CITY_White Frock Half Sleeves-5 - 6.5 yrs - Size 28,3,0,-3
CITY_White Shirt Full Sleeves Prep to X-8 - 10 yrs - Size 26,3,0,-3
CITY_White Shirt Half Sleeves Prep to X-10 - 12 yrs - Size 28,3,0,-3
Changhong Ruba 50 Inches D4000i Smart LED,3,0,-3
Changhong Ruba 55 Inches C5000i Smart LED TV_clear,3,0,-3
Chk_Buy 1 Get 1 Free: Mango Chutney 330 gms,3,0,-3
Cosmo_Proactiv Solution,3,0,-3
Dawlance_Microwave DW-131,4,1,-3
Eco Star_40U557,3,0,-3
Elan_W-M020,3,0,-3
Fmate_Chicken Aaloo Qeema,3,0,-3
Fmate_Chicken Shami Kabab,3,0,-3
Fmate_Palak Paneer ,3,0,-3
Fmate_Tawa Fry Fish/Chicken Batter Mix,3,0,-3
GMZV_Xbox One PAL -  500GB - Black,3,0,-3
HAIER_HSU-12HNH,3,0,-3
HOS_CNCMW100,4,1,-3
HP_Officejet ENVY 5530 Wireless (3-in-1,3,0,-3
Haier_HRF-300,3,0,-3
Haier_HWM 55-1010,3,0,-3
Haier_HWM 75AS,3,0,-3
Haier_HWM-85-7288,3,0,-3
Harry Potter and The Cursed Child-Hazir-Islamabad,3,0,-3
Kenwood_KEA1201,3,0,-3
L&S_meh023,3,0,-3
LALA_VTE-02,3,0,-3
Life source_MB-240,3,0,-3
MEGUIAR_G12711,4,1,-3
Paramount_8489738068,4,1,-3
Q&Q_GV54J302Y,3,0,-3
R&I_Split AC - Crystal Series 18000BTU,3,0,-3
Rubian_alphatronix-7019-1926235-1-zoom,3,0,-3
SCIFI_SC38816,3,0,-3
SIR_DMS02-2,3,0,-3
SNU_NA16E2-03,3,0,-3
Sapphire_US0413,3,0,-3
TLC_TAC-24CS/JET 2 ton,3,0,-3
Teenz_R-0124,3,0,-3
Tmall_MM-DR-MIB,3,0,-3
UK_Gulab Jamun Tin Pack  1000 Gms,3,0,-3
UnzeLondon_GS4354-9,3,0,-3
Zia_QT6A,3,0,-3
adenwala_Deal No.4,3,0,-3
ajmery_HQT906-Pink--,3,0,-3
akl_A131133511_MS-11_Beige,3,0,-3
asimjofaeid_AJL-1A,3,0,-3
aw_Octane Booster-12oz./354ml ,3,0,-3
cr_RAISIN SUNDER KHANI-500 GM,3,0,-3
dawlance_9108 DELUXE Refrigerator,3,0,-3
dawlance_DW-6500 Grey,3,0,-3
edukaan_7032-A4 - 6 Subjects,3,0,-3
edukaan_7069-A4 - 300 Pages,3,0,-3
emart_0-42,3,0,-3
fitn_748927028614,3,0,-3
gree_12CIT,3,0,-3
gree_12LM4,3,0,-3
